counter_1,emg0_1,emg1_1
201,0,0.851794871794872
202,0,0.792161172161172
203,0,0.822783882783883
204,0,0.798608058608059
205,0,0.772014652014652
206,3.28791208791209,3.21457875457875
207,3.25084249084249,0.348131868131868
208,3.26695970695971,0.198241758241758
209,3.3,0.0443223443223443
210,3.3,0.743809523809524
211,3.28791208791209,0.756703296703297
212,3.3,1.00168498168498
213,3.24358974358974,0.935604395604396
214,3.23714285714286,0.623736263736264
215,3.23714285714286,1.00974358974359
216,2.63838827838828,0.915457875457875
217,2.5618315018315,0.725274725274725
218,1.61010989010989,0.794578754578754
219,0.487545787545788,0.887252747252747
220,1.10080586080586,0.763150183150183
221,0.511721611721612,0.760732600732601
222,1.61172161172161,0.838095238095238
223,0.363443223443223,0.75992673992674
224,0.421465201465201,0.724468864468864
225,0,0.736556776556777
