counter_1,emg0_1,emg1_1
1,1.36271062271062,0
2,0.150695970695971,3.28549450549451
3,0.456923076923077,3.27501831501831
4,1.28212454212454,2.37809523809524
5,0.376336996336996,3.28549450549451
6,0.340879120879121,3.28468864468864
7,1.57545787545788,3.26937728937729
8,2.43934065934066,3.27098901098901
9,1.67135531135531,3.3
10,1.17091575091575,3.28307692307692
11,3.2443956043956,3.27663003663004
12,3.25970695970696,1.84380952380952
13,3.28791208791209,0.199047619047619
14,3.27985347985348,3.28307692307692
15,3.24842490842491,3.28871794871795
16,3.28388278388278,3.27098901098901
17,3.26454212454212,3.27582417582418
18,3.26615384615385,3.27904761904762
19,3.26051282051282,3.27985347985348
20,3.23956043956044,3.27824175824176
21,2.60212454212454,3.26776556776557
22,3.26373626373626,3.27501831501831
23,0.232893772893773,3.28630036630037
24,3.26212454212454,3.28307692307692
25,3.23230769230769,3.28710622710623
26,3.27260073260073,3.2814652014652
27,3.28710622710623,3.28065934065934
28,0.0717216117216117,3.25406593406593
29,3.23230769230769,3.28065934065934
30,3.24520146520146,1.68505494505494
31,1.23054945054945,0.163589743589744
32,3.24278388278388,0
33,3.27260073260073,3.2774358974359
34,3.29677655677656,0
35,3.27421245421245,0
36,0.424688644688645,0
37,2.64080586080586,3.28388278388278
38,1.69794871794872,0
39,1.05003663003663,0
40,3.26695970695971,0
41,3.26615384615385,0
42,3.25809523809524,0
43,3.3,0
44,3.28388278388278,0
45,3.26131868131868,3.27985347985348
46,3.26454212454212,3.28227106227106
47,0.311062271062271,3.28227106227106
48,0.00886446886446886,3.28065934065934
49,0,3.27663003663004
50,0.55040293040293,3.27421245421245
51,1.51663003663004,3.28710622710623
52,1.51985347985348,3.27904761904762
53,3.2589010989011,3.27340659340659
54,3.27421245421245,2.56827838827839
55,3.28791208791209,0.316703296703297
56,3.24842490842491,0
57,3.28388278388278,0
58,3.25809523809524,0
59,1.79142857142857,0
60,0.442417582417582,0
61,3.28388278388278,0.244981684981685
62,3.27098901098901,0
63,3.28710622710623,0
64,1.35304029304029,0
65,2.00417582417582,0
66,3.24197802197802,3.27179487179487
67,3.25728937728938,0.150695970695971
68,3.06710622710623,0
69,3.22747252747253,0
70,3.2774358974359,0.00161172161172161
71,1.53032967032967,1.70278388278388
72,0.0306227106227106,0.0765567765567766
73,0,0
74,0,0
75,0.0153113553113553,0
